[ID]
7

[Sector]
Viticus

[Coordinates]
10;10

[Name]
Bridge To Terraboria

[Description]
The City of the Faded Kingdom may have resources we'll need. Go there and help secure part of the ruins.

[Pre-scenario Dialogue]

[Win Dialogue]
We've bitten off more than expected... But we've found something that may be worth the pain spilled today.
[Lose Dialogue]
We knew that what was asked could be the lives of those who went... I wish we had gained something from their sacrifice but it was not meant to be...
[Bonus Dialogue]

[Post-scenario Dialogue]

[Objective]
Vanquish

[Reward]
10 Supplies
10 Favor SF

[Punishment]
-10 Favor SF

[Bonus Objective]
Win in 6

[Bonus Reward]
10 Favor SF
1 Relic

[Unlocks]
8

[Unlocks on Loss]
9

[Unlocks on Win]
10

[Unlocks on Bonus]
9

[Grid Size]
30 ;30

[Tile Map]
21    ;21    ;21    ;21    ;21    ;21    ;12    ;6     ;6       ;6        ;12       ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
21    ;21    ;21    ;21    ;21    ;21    ;12    ;6     ;6       ;6        ;12       ;21    ;21    ;21    ;21    ;22    ;22    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
21    ;21    ;42    ;21    ;21    ;21    ;12    ;6     ;6       ;6        ;12       ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
21    ;21    ;31    ;22    ;21    ;21    ;21    ;12    ;6       ;6        ;6        ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
21    ;21    ;22    ;21    ;21    ;21    ;21    ;21    ;12      ;6        ;6        ;6     ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;12      ;6        ;6        ;6     ;12    ;21    ;21    ;21    ;44    ;34    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;6       ;6        ;6        ;6     ;12    ;21    ;21    ;34    ;34    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
21    ;21    ;21    ;21    ;21    ;21    ;21    ;12    ;6       ;6        ;6        ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
21    ;21    ;21    ;21    ;21    ;21    ;12    ;6     ;6       ;6        ;12       ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21     ;21    ;21
44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44      ;44       ;44       ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44     ;44    ;44 
24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24      ;24       ;24       ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24     ;24    ;24   
24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24      ;24       ;24       ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24     ;24    ;24   
24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24      ;24       ;24       ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24    ;24     ;24    ;24
44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44      ;44       ;44       ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44    ;44     ;44    ;44 
21    ;21    ;21    ;21    ;21    ;21    ;21    ;12    ;6       ;6        ;6        ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;22    ;22    ;21    ;21    ;21    ;21    ;21     ;21    ;21  
21    ;21    ;21    ;21    ;21    ;32    ;21    ;12    ;6       ;6        ;6        ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;22    ;22    ;22    ;21    ;21    ;21    ;21     ;21    ;21  
21    ;21    ;32    ;32    ;21    ;21    ;21    ;21    ;12      ;6        ;6        ;6     ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;22    ;22    ;21    ;21    ;21    ;21     ;21    ;21  
21    ;21    ;21    ;32    ;21    ;21    ;21    ;21    ;12      ;6        ;6        ;6     ;12    ;21    ;21    ;21    ;22    ;22    ;21    ;21    ;21    ;21    ;22    ;22    ;21    ;21    ;21    ;21     ;21    ;21 
21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;12      ;6        ;6        ;6     ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;22    ;22    ;21    ;21    ;21     ;21    ;21
22    ;22    ;21    ;21    ;21    ;21    ;12    ;12    ;6       ;6        ;6        ;6     ;12    ;22    ;22    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;22    ;22    ;21    ;21    ;21     ;21    ;22  
22    ;22    ;21    ;21    ;21    ;21    ;12    ;12    ;6       ;6        ;6        ;6     ;12    ;22    ;22    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;22    ;22    ;21    ;22     ;22    ;22
22    ;22    ;21    ;21    ;21    ;12    ;12    ;6     ;6       ;6        ;6        ;6     ;12    ;12    ;22    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;22    ;22    ;22    ;22     ;22    ;21
22    ;22    ;21    ;21    ;21    ;12    ;12    ;6     ;6       ;6        ;6        ;6     ;12    ;12    ;22    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;22    ;22    ;22     ;22    ;21
22    ;22    ;21    ;21    ;21    ;12    ;12    ;6     ;6       ;4        ;4        ;6     ;6     ;12    ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;1    ;22    ;22     ;21    ;21
22    ;22    ;21    ;21    ;21    ;12    ;12    ;6     ;6       ;24       ;44       ;6     ;6     ;12    ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;1    ;3    ;22    ;22     ;21    ;21
22    ;22    ;21    ;21    ;12    ;12    ;6     ;6     ;6       ;24       ;24       ;6     ;6     ;12    ;12    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;21    ;3    ;3    ;13    ;22     ;21    ;21
22    ;22    ;21    ;21    ;12    ;12    ;6     ;6     ;14      ;24       ;14       ;6     ;6     ;12    ;12    ;1    ;2    ;3    ;4    ;5    ;6    ;6    ;7    ;9    ;10    ;11    ;5    ;13     ;13    ;13
22    ;22    ;21    ;21    ;12    ;12    ;6     ;6     ;14      ;44       ;14       ;4     ;6     ;6     ;12    ;1    ;2    ;3    ;4    ;5    ;6    ;6    ;8    ;9    ;10    ;12    ;7    ;13     ;13    ;13
22    ;22    ;21    ;12    ;12    ;6     ;6     ;6     ;14      ;44       ;14       ;4     ;6     ;6     ;12    ;1    ;2    ;3    ;4    ;5    ;6    ;7    ;8    ;9    ;10    ;10    ;12    ;13     ;13    ;13
22    ;22    ;21    ;12    ;12    ;6     ;6     ;6     ;14      ;24       ;14       ;4     ;6     ;6     ;12    ;1    ;1    ;3    ;4    ;5    ;6    ;6    ;8    ;9    ;10    ;11    ;12    ;13     ;13    ;13

[Object Map]
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;4 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0

[Character Map]
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
